treated,control
23990010,36223020
74459010,30551010
24107010,15516010
3020,50385010
15781010,87647020
13598020,77244010
81949010,36822020
24443010,88186010
30122010,34049020
85196010,23527020
81662010,24078010
23430010,16705020
61074020,39340020
48018020,66020020
14428010,84177020
56435010,72756020
80828010,41309020
46760010,52234020
37607010,54593020
85548010,31274010
36345010,36179010
48088010,39268010
82923010,47902020
41459010,84495010
16420020,79907010
93269010,17319010
34760010,43890020
11248010,49722020
32891020,82168010
33649010,48987020
24132020,38577010
59736010,86777020
12010010,52647020
40401010,81752010
57184020,17933010
83307020,44994020
21078010,56132010
56665020,12315010
14830010,73671010
31337010,14043020
44192010,35813020
20777010,49140010
60436010,48743010
86263010,55565010
86019020,47484010
18482010,34276010
59272020,56853010
35260010,33242010
15658010,32949020
75926020,50600020
43459010,74167010
71057010,72544020
50974010,14234010
81214010,39956010
60370010,54272010
15911010,38761010
42285010,42846010
35825010,44679010
76277010,79002010
10611010,77489010
55003020,60324010
76797010,48398010
79039010,84492010
49475010,33014010
52610020,40388010
44336020,77117010
21422010,45109010
50906010,17027010
12529020,40276020
11563010,33867020
18198020,86609020
57170010,48706020
48938010,59007020
41047020,36234020
87861010,20719020
73111010,50903010
25092010,53889010
10917010,38999020
75886020,20712020
38509020,48605020
20918020,41342010
86106010,53910010
47711010,14433010
71054020,86140010
42294020,44598010
56698020,61061020
65550020,88047010
23294020,63263010
53266010,41059010
31633020,15344010
18229010,92607010
78495020,14104010
79713010,17986020
43362010,43513010
65218010,38720010
49426010,54769010
19298020,22544020
85379010,76716010
46283010,44751010
79638010,11835020
48999010,40503010
13418020,75915010
60747010,75371010
84246010,23886010
43813020,45949020
76623010,17923010
86786010,55737010
13798010,59609010
22233010,84648010
71203010,73109010
85825010,25104010
48328020,23201010
32895010,84257020
21009020,51188010
39576010,50321010
57035010,57464010
60958020,50997020
25513010,73841010
86704010,47404020
18100010,18877010
13062020,23366010
17209010,33030020
46316010,14129010
10923020,11378010
48681010,80162010
20560010,13965010
44205020,40718020
41926020,83640020
21072010,25375010
76191020,78566010
56469010,35614010
71075020,48275020
81975010,43779010
23410010,10989010
61127010,58251020
12183010,41671020
12318010,15018010
79673010,48508010
76226010,32148020
79882010,86024020
50488020,20558010
14731010,41173010
41018020,35421010
77744020,79835020
53846010,85421010
19110020,85693010
44391010,15372010
52112020,72857010
21412020,36668010
34848010,30769010
73666010,35507010
81041020,80868010
25181020,48482010
24240010,50375010
